Dec 11 08:51:40.226011 - 14908/1124 MAIN_THREAD                       	JDERT_IsRealTimeEnabled called 
Dec 11 08:51:40.226012 - 14908/1124 MAIN_THREAD                       	New RTE system is enabled for 811 and higher releases. Bypassing RTE object checks. 
Dec 11 08:51:40.226013 - 14908/1124 MAIN_THREAD                       	Entering JDB_GetEnv 
Dec 11 08:51:40.226014 - 14908/1124 MAIN_THREAD                       	Exiting JDB_GetEnv with Success 
Dec 11 08:51:40.226015 - 14908/1124 MAIN_THREAD                       	Entering JDB_InitUser with (AUTO commit mode) 
Dec 11 08:51:40.226016 - 14908/1124 MAIN_THREAD                       	Entering JDB_BeginTransaction (UserHandle 0BBF7FD0) 
Dec 11 08:51:40.226017 - 14908/1124 MAIN_THREAD                       	Exiting JDB_BeginTransaction with Success (UserHandle 0BBF7FD0) 
Dec 11 08:51:40.226018 - 14908/1124 MAIN_THREAD                       	Exiting JDB_InitUser with Success (UserHandle 0BBF7FD0) 
Dec 11 08:51:40.226019 - 14908/1124 MAIN_THREAD                       	Entering JDB_FreeUser (UserHandle 0BBF7FD0) 
Dec 11 08:51:40.226020 - 14908/1124 MAIN_THREAD                       	Exiting JDB_FreeUser with Success(UserHandle 0BBF7FD0) 
Dec 11 08:51:40.226021 - 14908/1124 MAIN_THREAD                       	Entering JDB_GetEnv 
Dec 11 08:51:40.226022 - 14908/1124 MAIN_THREAD                       	Exiting JDB_GetEnv with Success 
Dec 11 08:51:40.226023 - 14908/1124 MAIN_THREAD                       	New RTE system is enabled for 811 and higher releases. Bypassing RTE object checks. 
Dec 11 08:51:40.226024 - 14908/1124 MAIN_THREAD                       	Entering JDB_InitUser with (AUTO commit mode) 
Dec 11 08:51:40.226025 - 14908/1124 MAIN_THREAD                       	Entering JDB_BeginTransaction (UserHandle 0BBF7FD0) 
Dec 11 08:51:40.226026 - 14908/1124 MAIN_THREAD                       	Exiting JDB_BeginTransaction with Success (UserHandle 0BBF7FD0) 
Dec 11 08:51:40.226027 - 14908/1124 MAIN_THREAD                       	Exiting JDB_InitUser with Success (UserHandle 0BBF7FD0) 
Dec 11 08:51:40.226028 - 14908/1124 MAIN_THREAD                       	Entering JDB_FreeUser (UserHandle 0BBF7FD0) 
Dec 11 08:51:40.226029 - 14908/1124 MAIN_THREAD                       	Exiting JDB_FreeUser with Success(UserHandle 0BBF7FD0) 
Dec 11 08:51:40.226030 - 14908/1124 MAIN_THREAD                       	Enter JDB_FreeCriticalSections. count=4 
Dec 11 08:51:40.226031 - 14908/1124 MAIN_THREAD                       	Exit JDB_FreeCriticalSections,count=3 to go 
Dec 11 08:51:40.226032 - 14908/1124 MAIN_THREAD                       	Exiting JDB_InitEnv with Success (EnvHandle 0583AF18) 
Dec 11 08:51:40.226033 - 14908/1124 MAIN_THREAD                       	Entering JDB_InitUser with (AUTO commit mode) 
Dec 11 08:51:40.226034 - 14908/1124 MAIN_THREAD                       	Entering JDB_BeginTransaction (UserHandle 0BBF7FD0) 
Dec 11 08:51:40.226035 - 14908/1124 MAIN_THREAD                       	Exiting JDB_BeginTransaction with Success (UserHandle 0BBF7FD0) 
Dec 11 08:51:40.226036 - 14908/1124 MAIN_THREAD                       	Exiting JDB_InitUser with Success (UserHandle 0BBF7FD0) 
Dec 11 08:51:40.226037 - 14908/1124 MAIN_THREAD                       	Entering JDB_OpenTable(Table = F98101) 
Dec 11 08:51:40.226038 - 14908/1124 MAIN_THREAD                       	Exiting JDB_OpenTable(Table = F98101) (UserHandle 0BBF7FD0) (hRequest 0F428ED8) with Success 
Dec 11 08:51:40.244000 - 14908/1124 MAIN_THREAD                       	Entering JDB_FetchKeyed (hRequest 0F428ED8) 
Dec 11 08:51:40.244001 - 14908/1124 MAIN_THREAD                       	ORACLE DBRsetReq conn=0BC004B0 requ=2B96D9C0 chameleon (JDESYS) 
Dec 11 08:51:40.244002 - 14908/1124 MAIN_THREAD                       	SELECT  *  FROM SY910.F98101  WHERE  ( IMIMVT = '    ' ) 
Dec 11 08:51:40.261000 - 14908/1124 MAIN_THREAD                       	ORACLE DBFetch conn=0BC004B0 requ=2B96D9C0 maxrows=70 
Dec 11 08:51:40.261001 - 14908/1124 MAIN_THREAD                       	ORACLE DBFetch conn=0BC004B0 requ=2B96D9C0 fetched=0 
Dec 11 08:51:40.261002 - 14908/1124 MAIN_THREAD                       	No More Data found (hRequest 0F428ED8) 
Dec 11 08:51:40.261003 - 14908/1124 MAIN_THREAD                       	Entering JDB_CloseTable (hRequest 0F428ED8) 
Dec 11 08:51:40.261004 - 14908/1124 MAIN_THREAD                       	Entering JDB_CloseTable(Table = F98101) 
Dec 11 08:51:40.261005 - 14908/1124 MAIN_THREAD                       	Entering JDB_ClearSequencing (hRequest 0F428ED8) 
Dec 11 08:51:40.261006 - 14908/1124 MAIN_THREAD                       	Exiting JDB_ClearSequencing with Success 
Dec 11 08:51:40.261007 - 14908/1124 MAIN_THREAD                       	Entering JDB_ClearSelection (hRequest 0F428ED8) 
Dec 11 08:51:40.261008 - 14908/1124 MAIN_THREAD                       	Exiting JDB_ClearSelection with Success 
Dec 11 08:51:40.261009 - 14908/1124 MAIN_THREAD                       	Entering JDB_ClearAggregate (hRequest 0F428ED8) 
Dec 11 08:51:40.261010 - 14908/1124 MAIN_THREAD                       	Exiting JDB_ClearAggregate with Success 
Dec 11 08:51:40.261011 - 14908/1124 MAIN_THREAD                       	Entering JDB_ClearGroupBy (hRequest 0F428ED8) 
Dec 11 08:51:40.261012 - 14908/1124 MAIN_THREAD                       	Exiting JDB_ClearGroupBy with Success 
Dec 11 08:51:40.261013 - 14908/1124 MAIN_THREAD                       	ORACLE DBFreeReq conn=0BC004B0 requ=2B96D9C0 CLOSE 
Dec 11 08:51:40.261014 - 14908/1124 MAIN_THREAD                       	Entering JDB_ClearBuffers (hRequest 0F428ED8) 
Dec 11 08:51:40.261015 - 14908/1124 MAIN_THREAD                       	Exiting JDB_ClearBuffers with success. 
Dec 11 08:51:40.261016 - 14908/1124 MAIN_THREAD                       	Exiting JDB_CloseTable(Table = F98101) with Success 
Dec 11 08:51:40.261017 - 14908/1124 MAIN_THREAD                       	Exiting JDB_CloseTable with Success 
Dec 11 08:51:40.261018 - 14908/1124 MAIN_THREAD                       	Entering JDB_FreeUser (UserHandle 0BBF7FD0) 
Dec 11 08:51:40.261019 - 14908/1124 MAIN_THREAD                       	Exiting JDB_FreeUser with Success(UserHandle 0BBF7FD0) 
Dec 11 08:51:40.261020 - 14908/1124 MAIN_THREAD                       	Entering JDB_FreeEnv (EnvHandle 0583AF18) 
Dec 11 08:51:40.261021 - 14908/1124 MAIN_THREAD                       	Enter JDB_CreateCriticalSections.count=3 
Dec 11 08:51:40.261022 - 14908/1124 MAIN_THREAD                       	Exit JDB_CreateCriticalSections with count=4 
Dec 11 08:51:40.261023 - 14908/1124 MAIN_THREAD                       	Enter JDB_FreeCriticalSections. count=4 
Dec 11 08:51:40.261024 - 14908/1124 MAIN_THREAD                       	Exit JDB_FreeCriticalSections,count=3 to go 
Dec 11 08:51:40.261025 - 14908/1124 MAIN_THREAD                       	Enter JDB_FreeCriticalSections. count=3 
Dec 11 08:51:40.261026 - 14908/1124 MAIN_THREAD                       	Exit JDB_FreeCriticalSections,count=2 to go 
Dec 11 08:51:40.261027 - 14908/1124 MAIN_THREAD                       	Exiting JDB_FreeEnv with Success (EnvHandle 0583AF18) 
Dec 11 08:51:40.262000 - 14908/9360 FOREIGN_THREAD                    	Entering JDB_GetEnv 
Dec 11 08:51:40.262001 - 14908/9360 FOREIGN_THREAD                    	Exiting JDB_GetEnv with Success 
Dec 11 08:51:40.262002 - 14908/9360 FOREIGN_THREAD                    	Entering JDB_InitUser with (AUTO commit mode) 
Dec 11 08:51:40.262003 - 14908/9360 FOREIGN_THREAD                    	Entering JDB_BeginTransaction (UserHandle 0BBF7FD0) 
Dec 11 08:51:40.262004 - 14908/9360 FOREIGN_THREAD                    	Exiting JDB_BeginTransaction with Success (UserHandle 0BBF7FD0) 
Dec 11 08:51:40.262005 - 14908/9360 FOREIGN_THREAD                    	Exiting JDB_InitUser with Success (UserHandle 0BBF7FD0) 
Dec 11 08:51:40.262006 - 14908/9360 FOREIGN_THREAD                    	Entering JDB_OpenTable(Table = F98MOQUE) 
Dec 11 08:51:40.262007 - 14908/1124 MAIN_THREAD                       	Entering JDB_OpenTable(Table = F9203) 
Dec 11 08:51:40.262008 - 14908/1124 MAIN_THREAD                       	Try to fetch proxy info from cache 
Dec 11 08:51:40.272000 - 14908/9360 FOREIGN_THREAD                    	Opening up local metadata repository. Type - JDESPECTYPE_GLBLTBL. 
Dec 11 08:51:40.272001 - 14908/9360 FOREIGN_THREAD                    	jdeSpecOpen() opening spec of release JDESPECRELLVL_B9U. 
Dec 11 08:51:40.272002 - 14908/9360 FOREIGN_THREAD                    	SpecEncapsulation : jdeSpecOpenLocal completed OK. 
Dec 11 08:51:40.276000 - 14908/1124 MAIN_THREAD                       	Exiting JDB_OpenTable(Table = F9203) (UserHandle 0F2882F0) (hRequest 0F426658) with Success 
Dec 11 08:51:40.276001 - 14908/1124 MAIN_THREAD                       	Entering JDB_FetchKeyed (hRequest 0F426658) 
Dec 11 08:51:40.280000 - 14908/9360 FOREIGN_THREAD                    	SpecEncapsulation : Close completed. 
Dec 11 08:51:40.280001 - 14908/9360 FOREIGN_THREAD                    	Opening up local metadata repository. Type - JDESPECTYPE_GBRLINK. 
Dec 11 08:51:40.280002 - 14908/9360 FOREIGN_THREAD                    	PKGBLD: Entering IntSvrPkgGetSpecIniFilePath 
Dec 11 08:51:40.280003 - 14908/9360 FOREIGN_THREAD                    	Entering IntSvrPkgGetINIPaths 
Dec 11 08:51:40.280004 - 14908/9360 FOREIGN_THREAD                    	Entering IntSvrPkgGetINIPaths 
Dec 11 08:51:40.280005 - 14908/9360 FOREIGN_THREAD                    	PKGBLD: Exiting IntSvrPkgGetSpecIniFilePath 
